2024/06/24 17:02:14 [notice] 1#1: using the "epoll" event method
2024/06/24 17:02:14 [notice] 1#1: nginx/1.25.4
2024/06/24 17:02:14 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14) 
2024/06/24 17:02:14 [notice] 1#1: OS: Linux 6.5.0-41-generic
2024/06/24 17:02:14 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1024:524288
2024/06/24 17:02:14 [notice] 1#1: start worker processes
2024/06/24 17:02:14 [notice] 1#1: start worker process 20
2024/06/24 17:02:14 [notice] 1#1: start worker process 21
2024/06/24 17:02:14 [notice] 1#1: start worker process 22
2024/06/24 17:02:14 [notice] 1#1: start worker process 23
2024/06/24 17:02:14 [notice] 1#1: start worker process 24
2024/06/24 17:02:14 [notice] 1#1: start worker process 25
2024/06/24 17:02:14 [notice] 1#1: start worker process 26
2024/06/24 17:02:14 [notice] 1#1: start worker process 27
2024/06/24 17:02:14 [notice] 1#1: start worker process 28
2024/06/24 17:02:14 [notice] 1#1: start worker process 29
2024/06/24 17:02:14 [notice] 1#1: start worker process 30
2024/06/24 17:02:14 [notice] 1#1: start worker process 31
